Age,Gender,Years at Company,Job Role,Monthly Income,Work-Life Balance,Job Satisfaction,Performance Rating,Number of Promotions,Overtime,Distance from Home,Education Level,Marital Status,Number of Dependents,Job Level,Company Size,Company Tenure,Remote Work,Leadership Opportunities,Innovation Opportunities,Company Reputation,Employee Recognition,Attrition
39,1,22,1,5556,3,3,3,0,0,16,3,1,0,1,2,28,0,0,0,4,1,0
37,1,2,4,9293,3,3,2,0,0,55,2,1,0,2,1,54,0,0,1,2,1,1
37,1,6,1,7701,2,3,2,0,1,32,1,1,1,1,2,71,0,1,1,3,1,1
31,1,18,3,5105,1,1,3,2,0,82,2,2,2,3,1,46,0,0,1,4,4,0
37,1,9,2,8632,2,3,3,2,0,8,4,0,2,3,2,86,1,0,0,1,3,1
45,0,27,3,5315,3,3,3,2,1,74,3,1,4,1,1,70,0,0,1,1,1,1
57,0,23,3,5938,4,4,3,2,1,3,4,0,3,2,2,47,0,0,0,3,2,1
42,0,2,3,6213,2,3,3,0,0,5,2,2,4,1,1,69,0,0,0,3,2,0
31,0,17,3,5956,2,1,3,0,0,76,2,0,4,1,1,27,0,0,0,3,1,0
56,0,22,3,6605,4,3,2,2,1,47,2,1,2,2,2,74,0,0,0,3,1,1
34,1,12,1,8274,3,4,2,0,1,67,2,2,1,1,2,36,0,0,0,1,1,0
56,1,7,4,9878,3,4,3,2,0,58,4,2,1,1,1,22,0,0,0,3,1,0
47,0,36,4,8442,2,1,4,1,0,84,3,2,0,1,2,67,1,0,0,1,1,0
25,0,2,2,6690,2,1,4,0,1,14,3,1,2,1,2,25,1,0,0,3,2,1
25,0,3,2,8397,4,3,2,0,1,36,2,1,3,1,1,49,1,0,0,1,1,1
36,1,8,4,9775,2,3,3,1,1,79,2,2,1,2,2,61,0,0,1,3,3,0
41,1,28,3,5586,3,3,3,0,0,52,3,1,0,1,1,103,0,0,0,3,2,1
55,0,6,2,9355,2,4,3,0,1,44,2,1,3,3,1,64,0,0,1,1,3,0
48,0,18,4,7976,2,3,4,0,1,32,1,2,2,2,1,71,0,0,0,3,2,0
21,1,11,3,6356,1,3,3,0,0,89,3,1,0,3,2,12,0,0,0,3,3,1
34,1,21,3,5967,2,1,3,1,0,39,2,1,0,2,1,39,1,0,0,3,2,1
28,0,12,4,10111,2,2,3,2,0,37,1,1,3,2,1,33,0,0,0,3,1,1
26,1,3,1,8673,4,3,3,0,0,64,3,2,1,1,3,57,0,0,1,3,2,0
47,1,22,0,5040,2,4,1,3,1,7,1,1,0,2,2,58,1,0,0,3,1,1
30,0,22,4,9894,1,1,3,1,0,87,3,2,2,1,1,65,1,0,0,4,2,0
24,1,13,4,6785,3,3,3,0,0,24,2,2,3,3,1,57,0,0,1,2,3,0
23,0,2,1,7368,2,4,2,0,0,15,4,1,3,3,1,17,0,0,1,3,3,1
52,1,34,3,5154,2,2,3,0,1,16,1,2,2,2,1,83,0,0,0,2,2,0
51,1,16,2,8407,3,4,3,1,0,63,2,2,1,1,1,66,0,0,0,3,1,0
50,1,21,0,4195,3,4,3,2,1,76,2,1,2,1,1,100,1,0,0,3,4,1
45,1,6,0,4451,2,3,3,0,0,81,1,1,2,1,3,65,0,0,0,2,2,1
31,0,11,4,10122,2,3,3,2,0,58,2,1,0,3,1,62,1,0,0,1,1,1
50,1,35,1,7303,3,3,2,1,1,48,1,1,1,1,2,84,1,0,1,1,3,1
29,1,8,1,7946,1,4,3,0,0,75,3,2,1,2,2,17,0,1,0,1,3,0
27,1,14,1,6026,1,3,2,0,1,30,2,2,2,2,3,20,0,0,0,3,3,0
48,1,1,4,10135,1,3,1,0,1,13,2,2,3,1,1,72,0,0,0,3,2,0
47,1,24,2,8631,2,4,4,0,0,35,2,1,3,3,2,89,0,0,0,1,1,1
41,0,11,0,4431,1,4,4,0,0,8,3,1,2,3,2,80,0,0,0,4,1,0
53,0,2,0,3598,3,3,3,0,1,98,3,2,1,1,3,69,0,0,1,2,2,0
37,0,2,2,7949,4,2,3,0,0,95,1,1,5,1,3,6,1,0,0,4,1,1
21,0,10,2,7967,2,3,3,0,0,44,4,2,1,3,3,64,0,0,0,2,3,1
53,0,23,2,8876,2,1,3,2,1,68,1,1,3,1,2,78,0,0,1,3,3,0
45,0,28,3,6628,3,3,3,0,1,56,2,1,3,3,2,30,0,0,0,2,1,0
49,1,9,2,8340,3,3,4,1,0,73,2,2,0,1,3,77,0,0,0,2,1,0
37,1,22,1,10080,1,3,3,0,0,21,2,1,1,2,2,69,0,0,0,3,2,0
39,1,9,1,8860,3,2,2,0,1,26,2,1,1,2,2,61,0,0,0,2,2,0
27,1,17,3,5678,2,3,3,2,0,41,2,1,2,2,2,54,0,0,0,3,1,1
58,1,14,4,8683,1,3,3,2,0,34,2,0,0,3,3,87,1,1,1,3,1,1
49,0,2,0,4042,3,3,2,0,0,29,3,0,2,1,2,58,0,0,0,3,3,0
54,1,24,4,9737,1,2,2,0,0,8,2,1,0,1,2,88,1,0,0,2,1,1
38,1,18,0,5246,3,3,4,0,1,84,4,0,2,2,2,20,0,0,0,3,1,0
19,0,1,1,10141,3,3,3,1,0,19,2,2,1,1,3,41,0,0,1,2,2,0
43,1,34,4,9033,3,3,2,1,0,50,1,1,1,1,2,97,0,0,0,1,2,1
30,1,10,3,5397,4,1,3,1,1,68,2,1,0,1,3,75,0,0,0,1,1,0
31,1,19,2,6135,3,3,4,0,0,41,5,2,0,1,2,88,0,0,0,3,2,1
47,1,28,2,7063,1,4,2,0,0,62,3,1,0,3,2,49,0,0,1,3,2,1
58,0,40,3,6940,3,3,4,0,0,49,2,1,1,3,3,67,1,0,0,1,2,1
40,1,17,0,4733,1,3,2,1,0,69,5,1,4,1,1,60,0,0,0,4,2,1
35,1,17,2,7625,3,3,4,0,0,26,2,1,0,2,3,31,0,0,0,3,3,1
31,0,2,4,6640,2,2,3,0,0,13,3,0,4,3,3,33,0,0,1,3,3,1
31,1,8,4,7287,4,2,4,2,1,33,4,2,0,1,1,69,0,0,1,4,2,1
40,1,5,2,6993,2,2,3,0,1,57,1,2,0,1,3,75,0,0,0,2,1,0
49,0,22,1,12041,4,3,1,0,0,62,5,2,6,2,1,23,0,0,1,3,1,1
33,0,1,1,6534,2,1,3,1,0,21,4,2,4,1,1,12,0,0,0,3,2,0
52,1,15,2,7529,3,2,3,0,0,61,2,1,5,1,3,34,0,0,0,3,4,1
51,1,12,1,4421,3,3,3,1,0,62,4,2,0,1,2,14,1,0,0,3,3,1
27,0,11,4,9197,3,3,4,0,1,53,1,1,2,3,3,35,0,0,0,3,2,1
58,1,6,2,8762,2,3,4,0,1,72,2,1,0,1,1,38,0,0,0,3,2,0
42,0,7,4,8744,3,2,4,1,1,41,1,2,3,1,1,71,1,0,1,3,2,0
26,1,3,2,7406,3,1,1,3,0,91,3,1,0,1,2,57,1,0,0,1,1,0
37,0,7,3,6099,3,3,4,0,0,19,2,1,0,3,1,16,1,0,0,4,1,1
55,1,13,4,9626,3,3,3,2,0,27,2,2,0,3,1,81,0,0,1,3,3,1
46,0,6,4,10298,2,3,3,0,0,47,2,2,0,1,2,84,0,0,0,2,1,0
41,1,2,4,8972,3,4,3,1,0,76,4,0,1,2,3,72,0,0,1,4,1,0
58,0,14,4,9501,2,2,3,1,1,56,2,2,4,1,3,52,0,0,0,1,2,0
40,0,22,0,4023,4,4,1,0,0,58,4,1,4,1,2,55,0,1,0,3,2,0
53,1,41,1,8332,1,3,2,0,0,24,4,2,4,1,2,47,0,0,0,3,3,0
46,0,9,0,4237,2,2,3,0,1,36,2,1,1,3,3,20,0,0,0,1,2,0
45,1,9,0,6437,2,3,4,1,0,53,3,1,4,2,2,31,0,0,0,1,2,0
56,1,32,2,6690,4,2,4,1,0,35,1,1,1,1,1,80,0,0,0,2,1,1
23,1,11,4,7038,3,2,3,0,0,74,3,1,0,1,3,55,0,0,0,2,1,0
55,1,40,2,9177,2,1,2,0,0,65,3,2,0,2,2,106,0,0,0,4,1,0
48,0,19,4,8761,3,3,2,0,0,75,1,1,3,1,2,90,1,0,0,1,4,1
47,1,24,3,5428,4,1,3,0,1,93,3,0,1,1,2,49,0,0,0,3,2,1
26,0,8,2,7859,3,2,3,4,0,44,1,1,5,3,1,35,0,0,0,3,1,1
21,1,4,4,10298,3,3,3,2,0,28,1,2,0,3,2,53,0,0,0,2,1,0
44,1,13,2,7430,3,1,3,1,1,23,3,1,3,2,2,73,0,0,0,3,1,1
24,1,2,0,4573,2,3,4,2,1,37,2,1,0,3,1,62,0,0,0,3,2,1
31,1,13,4,9434,3,4,2,0,0,76,2,1,0,2,2,83,1,0,0,2,1,1
45,0,24,1,4583,4,4,4,2,1,55,3,1,1,2,2,62,0,0,0,3,2,0
19,1,3,2,7979,2,2,1,1,1,46,1,1,2,1,2,27,0,0,1,2,2,0
59,0,30,4,10166,4,3,3,1,0,32,3,1,1,1,2,37,0,0,0,3,3,0
50,1,35,3,5316,2,3,3,2,0,21,2,1,0,2,2,80,1,0,0,3,2,1
59,1,45,4,10030,3,1,3,2,0,64,1,1,3,2,3,52,0,0,0,1,1,0
54,1,2,2,8736,3,4,3,0,1,86,3,2,1,1,1,5,0,0,0,1,1,0
58,0,39,2,6929,2,3,4,0,0,56,3,1,3,1,3,76,0,1,1,1,3,0
21,1,2,2,10167,2,3,4,0,1,54,3,1,2,2,2,65,0,0,0,2,2,0
51,1,16,2,9063,1,4,3,0,0,9,3,2,1,2,1,90,0,0,1,3,1,0
45,0,20,2,8926,4,3,3,4,0,89,1,2,1,3,1,80,1,0,0,3,2,1
30,0,15,0,3204,3,3,1,0,0,45,2,0,1,3,1,94,0,1,0,4,1,1
29,0,11,1,9306,2,3,3,0,0,51,4,2,2,1,3,45,0,0,0,4,1,0
59,1,43,0,4862,3,1,3,0,0,28,3,1,1,2,1,119,0,0,0,3,3,1
35,0,26,4,7576,4,3,1,4,0,81,1,1,5,2,1,53,0,0,1,3,1,1
40,0,29,1,11735,2,3,3,3,0,87,3,0,3,1,1,56,0,0,0,2,2,1
20,1,2,3,6453,4,2,3,0,0,51,3,1,0,1,1,62,0,0,0,3,3,1
50,1,18,4,7359,3,3,4,1,0,67,3,0,2,1,2,63,0,0,0,3,1,0
44,1,35,2,7838,2,3,3,1,0,19,3,1,4,3,1,53,0,0,0,4,3,1
20,0,3,4,10943,1,3,2,0,0,62,3,2,0,1,2,15,0,0,0,2,2,0
28,1,20,1,10513,3,3,3,0,0,73,2,1,1,2,2,94,0,1,0,1,2,1
28,1,6,2,6669,3,4,4,0,0,39,5,2,3,2,3,41,0,0,0,1,1,0
36,1,17,4,8309,3,3,3,2,1,24,3,2,0,2,3,89,0,0,0,3,1,1
40,1,4,3,6426,2,3,3,0,0,13,2,1,1,1,2,10,0,0,0,4,2,0
56,0,46,2,8423,3,3,4,0,0,96,4,2,3,1,2,118,0,0,0,2,2,0
47,1,1,4,8723,3,4,4,2,0,73,1,1,1,3,1,32,0,0,0,2,1,1
21,1,13,2,9152,1,3,3,0,0,60,2,1,0,1,2,20,1,0,0,3,4,1
18,0,7,4,8546,1,4,4,0,1,94,1,2,1,3,1,64,1,0,0,2,3,0
22,0,13,3,5797,4,4,2,0,0,78,5,1,4,1,1,49,1,0,0,3,2,1
52,1,19,0,3625,2,3,3,1,0,54,1,1,2,2,1,32,0,0,0,3,1,1
44,1,36,1,8048,2,4,3,2,0,72,1,2,3,2,2,57,1,0,0,2,2,0
42,1,26,0,4205,3,3,3,1,0,89,4,2,3,3,2,39,0,0,0,2,3,1
53,1,41,0,4373,2,3,3,2,1,91,4,1,4,2,2,53,0,0,0,1,2,0
22,1,2,1,6925,4,3,3,1,0,79,3,1,2,3,2,73,1,0,0,2,2,1
50,1,38,2,8299,2,1,1,0,0,28,2,2,0,2,3,59,0,0,0,2,3,0
56,0,40,4,11556,3,2,3,2,0,1,5,2,2,2,1,66,0,0,0,4,2,1
42,1,10,3,5820,2,4,4,1,1,86,1,2,2,3,1,82,0,0,1,4,3,0
18,1,6,4,7631,2,1,2,0,0,1,4,2,3,1,2,69,0,0,0,3,1,0
39,1,3,3,5891,3,1,3,2,1,88,1,0,4,2,1,9,0,0,0,3,2,0
22,0,9,1,8376,2,3,2,3,0,46,1,2,1,2,2,11,0,0,0,3,2,0
28,1,3,3,6185,2,3,3,0,0,51,3,1,0,2,2,62,0,0,1,2,1,0
47,0,13,2,6467,3,3,2,2,0,25,2,0,2,1,2,82,0,0,0,1,3,0
56,0,6,1,6954,3,3,3,1,0,65,2,1,2,1,1,17,1,0,0,3,2,0
51,0,33,4,7647,3,1,3,1,1,6,1,1,1,2,1,44,0,0,0,2,1,0
55,0,43,2,7440,1,2,4,0,1,1,1,1,0,1,1,97,1,0,0,3,2,0
56,1,38,2,8883,1,1,3,0,0,69,4,0,3,2,2,100,0,0,0,2,1,0
24,1,8,0,5652,3,3,4,0,0,76,1,1,1,3,1,23,0,0,0,2,2,1
26,1,5,1,7376,2,3,3,0,0,70,2,1,1,3,3,33,0,0,1,1,1,0
52,1,26,4,7306,3,1,3,0,1,19,1,2,3,1,1,35,1,0,0,2,1,1
54,1,42,1,10006,3,3,2,0,0,75,4,1,1,3,1,93,0,0,0,3,2,1
45,1,6,4,11421,1,3,3,1,0,18,2,0,4,2,1,27,1,0,1,3,1,1
20,1,9,2,8161,3,1,3,0,0,86,2,2,2,2,2,35,0,0,0,3,2,0
51,1,10,0,3755,3,3,3,0,0,61,1,0,0,1,2,26,0,0,0,3,2,0
51,1,22,3,5405,4,2,3,1,0,57,4,1,3,1,1,27,0,0,0,2,2,1
59,1,32,0,4113,4,3,4,0,1,48,4,2,3,1,2,82,0,0,0,3,1,0
47,1,38,3,6008,2,4,3,0,0,12,1,1,0,2,1,49,1,0,0,3,2,1
58,1,2,3,6363,2,3,3,2,0,19,1,1,2,2,3,27,0,0,0,1,2,1
40,0,27,3,5980,3,2,4,0,0,35,5,2,2,2,1,52,0,0,0,3,3,1
45,0,10,3,5475,3,3,3,0,0,99,1,1,0,2,2,26,0,0,0,3,2,1
38,0,7,3,6160,3,3,3,2,0,53,2,1,4,1,2,24,0,0,0,3,3,1
29,1,9,3,6336,2,3,2,1,0,95,2,1,3,1,2,79,0,0,1,1,1,0
41,0,29,3,6243,2,3,3,0,0,78,2,1,4,1,2,55,0,0,1,1,3,0
38,1,14,3,5733,4,4,3,1,0,12,2,1,2,2,2,62,0,0,0,1,3,1
51,0,16,4,8988,3,3,2,1,1,94,1,1,1,1,1,36,0,0,0,3,3,1
38,0,22,3,5744,3,4,4,1,0,95,3,1,3,1,2,62,0,0,0,1,1,0
46,0,14,1,6555,4,3,3,0,0,4,4,2,0,2,1,92,1,0,0,3,1,1
53,1,23,4,7633,3,4,3,0,0,44,2,0,2,2,2,91,0,0,0,2,4,0
41,1,26,0,4724,3,4,3,1,0,7,2,2,2,3,2,80,0,0,0,1,1,1
28,1,4,4,9892,3,2,4,2,0,9,3,2,4,1,2,20,0,0,0,3,4,0
34,1,6,4,10220,3,1,2,1,1,97,3,2,1,1,1,41,1,0,0,3,4,0
33,1,12,0,2386,1,2,3,1,1,73,2,1,0,2,2,64,0,0,0,3,3,0
38,1,25,1,10903,3,3,4,2,1,29,3,2,0,3,2,63,0,0,0,2,1,1
52,1,19,3,6139,2,4,3,2,0,68,4,0,0,1,1,92,0,0,0,1,1,0
19,1,11,0,4410,2,3,4,2,1,42,2,2,1,1,2,25,0,0,0,3,2,0
46,1,17,4,6977,4,3,3,0,0,8,3,1,0,2,2,74,0,0,0,2,4,1
27,0,12,1,9249,2,1,3,0,1,32,2,2,0,1,3,22,0,0,0,1,4,0
59,1,40,2,8328,3,4,4,0,0,46,3,2,0,1,1,44,0,0,1,1,1,0
58,0,44,2,8331,2,2,4,2,0,38,3,0,1,2,1,117,0,0,0,3,4,0
50,1,42,4,7639,1,1,4,0,0,91,1,1,0,1,2,49,0,0,0,3,3,0
48,0,31,4,11164,3,2,3,3,0,72,1,2,1,2,2,74,0,0,0,1,1,0
57,1,18,4,8580,2,2,2,1,0,84,2,2,3,1,2,60,1,0,0,2,2,1
50,1,30,2,8113,2,3,4,0,0,19,1,2,0,3,2,78,0,0,0,3,1,1
22,1,5,2,9117,3,3,2,0,0,7,2,2,4,2,1,34,0,0,0,4,2,1
28,1,6,4,8571,1,2,2,0,0,35,3,1,2,1,1,55,0,0,0,3,3,0
19,0,6,1,9016,3,1,3,0,0,28,4,1,1,1,2,48,0,0,1,3,1,0
47,0,16,4,9128,3,3,4,1,0,90,5,0,3,3,1,17,0,0,0,3,3,1
33,1,19,4,9380,3,3,3,1,0,65,5,1,3,2,2,53,0,0,0,1,1,1
31,0,14,4,8143,3,4,3,1,1,54,3,2,0,3,1,77,0,0,0,3,2,0
26,1,5,2,8268,3,2,3,4,0,6,4,2,4,2,3,53,0,0,0,4,2,1
51,1,28,2,7345,2,3,3,1,0,43,1,2,0,1,2,29,0,0,0,1,1,0
44,1,34,4,10286,3,3,3,1,0,63,1,1,4,1,2,53,1,0,0,4,4,1
30,1,20,0,4281,3,3,3,0,0,63,1,2,4,2,2,61,0,0,1,3,2,1
55,1,8,1,12985,2,4,2,2,0,41,4,1,4,2,2,22,0,0,0,2,1,0
33,1,16,3,5629,2,3,2,0,0,15,2,2,1,3,2,46,0,0,0,2,1,0
27,1,9,1,9279,3,3,3,2,0,69,1,1,1,2,2,36,0,0,0,3,4,1
49,0,41,4,8549,2,2,2,1,0,13,2,1,0,1,1,60,0,0,0,3,1,0
41,1,21,1,7838,3,3,3,2,1,99,3,0,3,1,3,69,0,0,0,1,3,0
27,0,2,3,5196,4,4,2,1,0,75,2,1,1,2,3,18,0,0,0,1,1,0
22,0,2,2,8184,4,3,2,1,0,98,2,2,6,1,1,79,1,0,0,4,2,0
22,0,8,0,4522,3,2,3,0,1,18,4,1,0,1,2,26,1,0,0,2,4,1
50,1,36,0,4911,3,2,3,1,0,59,2,1,4,2,1,94,1,0,0,2,2,1
20,0,8,1,8713,1,1,1,1,0,82,2,2,0,2,2,25,0,1,0,3,3,0
36,0,9,2,9055,4,3,3,0,0,61,2,0,4,2,3,24,1,0,1,3,2,1
34,1,10,1,8721,4,1,3,0,0,76,3,1,0,1,3,11,1,0,0,3,1,1
38,1,14,3,4496,3,3,3,3,1,76,2,1,0,1,1,86,0,0,1,1,1,0
20,0,6,2,5970,3,3,3,1,1,54,3,1,2,1,1,27,0,0,0,3,1,0
42,0,6,2,7741,4,3,3,0,0,4,4,0,3,1,1,28,0,0,0,3,3,1
48,0,40,4,9533,2,2,3,1,0,81,5,2,5,3,2,61,0,0,0,3,2,1
29,0,15,0,4738,3,4,2,0,1,76,3,2,4,1,3,35,1,0,0,3,2,0
32,0,6,3,5879,3,3,2,0,0,47,5,1,2,3,2,72,1,0,0,3,2,1
26,1,17,3,6523,3,3,4,2,1,85,4,2,3,1,2,86,1,0,1,3,3,0
48,0,15,4,6837,2,3,3,0,0,36,2,2,0,2,2,70,0,0,0,1,2,1
44,1,31,3,6033,1,4,4,2,0,28,3,1,0,2,3,38,1,0,0,1,2,1
59,0,45,1,8127,3,3,4,0,1,22,3,1,1,2,3,79,0,0,0,1,3,0
25,0,17,2,8611,3,3,3,0,0,4,3,2,5,1,2,60,0,0,0,3,1,1
43,1,27,0,3536,3,2,3,0,0,48,3,2,3,1,2,85,1,0,0,4,1,1
25,0,10,3,6205,4,1,3,0,0,50,4,2,3,2,2,74,0,0,0,1,2,0
55,1,33,0,4831,3,3,1,0,1,63,1,1,5,3,1,50,0,0,0,1,2,0
18,0,9,3,4764,4,3,3,1,0,93,4,1,1,1,3,57,0,0,0,3,3,1
59,1,30,0,5520,1,4,3,0,0,50,2,2,0,2,2,58,0,0,0,3,3,0
40,0,12,2,8482,2,3,3,1,0,18,4,0,1,1,3,46,0,0,0,1,2,0
22,0,1,3,6326,3,3,3,0,0,2,2,1,4,1,2,79,0,0,0,3,2,1
58,0,17,0,4952,3,3,4,2,0,49,2,2,1,2,1,28,0,0,0,4,2,0
39,1,13,2,8976,3,3,2,4,0,82,4,0,0,1,2,25,0,0,0,3,2,1
40,1,29,0,4592,1,4,3,0,1,68,4,2,2,1,2,72,0,0,0,3,1,0
36,1,13,3,6389,3,3,3,1,1,87,2,1,5,2,3,64,0,0,0,3,2,1
19,1,5,2,8482,1,4,4,0,0,57,1,0,5,3,2,31,0,0,0,2,1,1
20,0,8,4,7412,4,3,3,1,0,19,2,2,0,3,3,81,0,0,0,3,1,1
45,1,15,2,7730,1,4,4,0,0,81,4,1,2,1,2,76,1,0,0,1,2,1
18,1,10,3,5842,3,2,4,0,0,84,3,1,0,3,3,21,0,0,1,3,1,1
32,0,13,0,3951,1,3,3,0,0,56,5,2,2,2,2,82,0,0,0,3,1,0
20,1,10,3,5784,2,2,3,0,0,1,2,2,6,3,2,68,0,0,0,4,2,1
33,0,11,4,9415,2,3,4,2,1,97,2,2,2,3,3,46,0,0,0,2,2,1
43,1,20,4,10994,3,2,3,2,0,7,5,2,3,1,2,24,0,0,0,2,1,1
32,0,11,4,9305,2,3,2,0,1,35,2,2,3,1,3,67,0,0,0,4,1,0
37,1,12,1,11806,1,3,3,2,0,50,3,1,4,1,1,76,0,0,0,3,1,1
19,1,8,3,6113,3,3,3,0,0,58,5,2,0,1,3,44,0,0,0,4,3,1
20,0,12,4,9242,2,4,2,1,0,71,1,1,0,1,1,73,0,0,0,4,1,0
30,1,7,4,6279,3,3,3,2,1,90,3,2,2,1,2,48,0,0,0,1,2,0
40,1,11,4,10512,2,4,4,0,0,74,3,1,2,3,3,66,0,0,0,3,3,1
34,1,19,2,7909,2,1,3,2,1,12,2,1,3,2,1,48,0,0,1,1,1,0
55,1,5,3,5788,2,2,3,0,0,63,4,0,1,3,2,13,0,0,0,1,3,1
33,0,20,2,7265,2,3,4,0,0,40,2,2,2,2,1,86,0,0,0,1,1,0
26,1,18,1,10661,3,2,3,4,0,36,2,2,3,1,1,45,1,0,0,1,1,1
25,0,7,0,4811,3,3,3,0,0,79,3,0,2,2,1,38,0,0,1,1,3,0
27,1,12,3,5329,2,3,4,2,1,20,4,1,3,2,1,35,0,0,1,3,1,0
35,1,25,2,7153,4,3,4,2,0,63,2,1,2,1,1,91,0,0,0,1,1,0
50,1,40,0,3043,3,3,2,0,0,24,2,1,3,2,2,102,0,0,0,1,2,1
50,1,14,4,9495,3,2,3,2,1,96,3,2,0,1,2,23,1,0,0,3,2,0
58,1,4,4,8151,3,3,3,0,0,15,1,1,1,2,1,8,1,0,0,3,1,1
33,0,22,2,7714,2,4,3,2,0,7,2,1,2,3,3,83,0,0,1,1,3,1
20,1,11,1,7628,1,2,3,3,0,17,2,2,1,1,2,84,0,0,1,3,1,1
24,1,9,4,8486,2,3,3,0,0,11,1,2,0,3,2,18,1,0,0,3,2,1
55,1,2,0,3553,2,4,3,0,1,59,2,2,2,1,1,28,0,0,0,3,3,0
45,0,33,2,6063,3,3,4,0,0,6,2,2,4,2,2,84,0,0,1,4,2,1
50,1,39,2,7600,3,3,3,0,0,60,2,2,0,3,1,107,0,1,0,4,1,1
44,1,1,0,3288,4,2,3,0,0,10,5,1,4,2,2,38,0,0,0,1,1,1
59,1,16,2,8392,2,2,3,1,0,17,4,1,0,2,2,26,0,0,0,3,4,1
32,0,21,2,7104,4,1,2,2,0,31,1,1,0,1,3,25,0,0,1,2,1,0
33,0,3,0,3815,4,1,4,1,0,6,2,1,0,3,1,14,1,0,0,3,1,1
34,0,18,0,4328,4,3,3,0,0,20,2,2,3,2,1,57,0,0,0,2,3,0
43,0,23,1,6952,1,4,4,4,1,24,1,2,0,2,2,61,1,0,1,2,4,1
40,1,18,3,6369,3,2,3,1,0,98,3,1,2,2,2,45,1,0,0,3,1,1
22,1,1,2,8756,1,3,4,1,1,55,2,2,4,1,2,23,0,0,0,3,1,0
58,1,9,4,5532,3,3,3,1,1,4,2,0,1,2,2,19,1,0,0,3,2,1
55,1,34,4,8673,2,3,3,2,0,97,2,2,0,2,3,86,0,0,0,1,1,0
38,0,14,0,3891,4,1,3,2,1,82,2,1,3,2,2,75,1,0,0,3,1,1
27,1,14,3,6029,4,4,3,2,0,60,3,0,1,2,1,74,1,0,0,3,2,1
22,0,11,0,4137,2,3,2,1,1,19,1,2,3,1,2,83,0,0,0,1,2,0
23,1,2,2,8081,4,2,4,0,0,81,3,1,0,3,2,52,0,0,0,3,3,1
